用户编号,满意度,评分,总项目数,每月平均工作小时数（小时）,工龄（年）,工作事故,离职,5年内升职,部门,薪资
1,0.38,0.53,2,157,3,0,1,0,销售部,低
2,0.8,0.86,5,242,6,0,1,0,销售部,中
3,0.11,0.88,7,242,4,0,1,0,销售部,中
4,0.72,0.87,5,223,5,0,1,0,销售部,低
5,0.37,0.52,2,159,3,0,1,0,销售部,低
6,0.41,0.5,2,153,3,0,1,0,销售部,低
7,0.1,0.77,6,247,4,0,1,0,销售部,低
8,0.92,0.85,5,249,5,0,1,0,销售部,低
9,0.89,1,5,224,5,0,1,0,销售部,低
10,0.42,0.53,2,142,3,0,1,0,销售部,低
11,0.45,0.54,2,135,3,0,1,0,销售部,低
12,0.11,0.81,6,245,4,0,1,0,销售部,低
13,0.84,0.92,4,234,5,0,1,0,销售部,低
14,0.41,0.55,2,148,3,0,1,0,销售部,低
15,0.36,0.56,2,137,3,0,1,0,销售部,低
16,0.38,0.54,2,143,3,0,1,0,销售部,低
17,0.45,0.47,2,160,3,0,1,0,销售部,低
18,0.78,0.99,4,245,6,0,1,0,销售部,低
19,0.45,0.51,2,160,3,1,1,1,销售部,低
20,0.76,0.89,5,242,5,0,1,0,销售部,低
21,0.11,0.83,6,242,4,0,1,0,销售部,低
22,0.38,0.55,2,147,3,0,1,0,销售部,低
23,0.09,0.95,6,244,4,0,1,0,销售部,低
24,0.46,0.57,2,139,3,0,1,0,销售部,低
25,0.4,0.53,2,158,3,0,1,0,销售部,低
26,0.89,0.92,5,242,5,0,1,0,销售部,低
27,0.82,0.87,4,239,5,0,1,0,销售部,低
28,0.4,0.49,2,135,3,0,1,0,销售部,低
29,0.41,0.46,2,128,3,0,1,0,财务部,低
30,0.38,0.5,2,132,3,0,1,0,财务部,低
31,0.09,0.62,6,244,4,0,1,0,财务部,低
32,0.45,0.57,2,134,3,0,1,0,人力资源部,低
33,0.4,0.51,2,145,3,0,1,0,人力资源部,低
34,0.45,0.55,2,140,3,0,1,0,人力资源部,低
35,0.84,0.87,4,246,6,0,1,0,人力资源部,低
36,0.1,0.94,6,245,4,0,1,0,技术部,低
37,0.38,0.46,2,137,3,0,1,0,技术部,低
38,0.45,0.5,2,126,3,0,1,0,技术部,低
39,0.11,0.89,6,246,4,0,1,0,技术部,低
40,0.41,0.54,2,152,3,0,1,0,技术部,低
41,0.87,0.88,5,249,5,0,1,0,技术部,低
42,0.45,0.48,2,158,3,0,1,0,技术部,低
43,0.4,0.46,2,127,3,0,1,0,技术部,低
44,0.1,0.8,7,241,4,0,1,0,技术部,低
45,0.09,0.89,6,246,4,0,1,0,技术部,低
46,0.84,0.74,3,182,4,0,1,0,技术部,低
47,0.4,0.55,2,147,3,0,1,0,支持部,低
48,0.57,0.7,3,243,6,0,1,0,支持部,低
49,0.4,0.54,2,148,3,0,1,0,支持部,低
50,0.43,0.47,2,147,3,0,1,0,支持部,低
51,0.13,0.78,6,152,2,0,1,0,支持部,低
52,0.44,0.55,2,135,3,0,1,0,支持部,低
53,0.38,0.55,2,134,3,0,1,0,支持部,低
54,0.39,0.54,2,132,3,0,1,0,支持部,低
55,0.1,0.92,7,247,4,0,1,0,支持部,低
56,0.37,0.46,2,140,3,0,1,0,支持部,低
57,0.11,0.94,7,245,4,0,1,0,支持部,低
58,0.1,0.81,6,249,4,0,1,0,技术部,低
59,0.38,0.54,2,128,3,0,1,0,技术部,低
60,0.85,1,4,225,5,0,1,0,技术部,低
61,0.85,0.91,5,226,5,0,1,0,管理部,中
62,0.11,0.93,7,248,4,0,1,0,IT部,中
63,0.1,0.95,6,244,5,0,1,0,IT部,中
64,0.36,0.56,2,132,3,0,1,0,IT部,中
65,0.11,0.94,6,246,4,0,1,0,IT部,中
66,0.81,0.7,6,161,4,0,1,0,IT部,中
67,0.43,0.54,2,153,3,0,1,0,产品开发部,中
68,0.9,0.98,4,244,6,0,1,0,产品开发部,中
69,0.76,0.86,5,223,5,1,1,0,产品开发部,中
70,0.43,0.5,2,135,3,0,1,0,产品开发部,中
71,0.74,0.99,2,247,3,0,1,0,IT部,中
72,0.09,0.77,5,245,4,0,1,0,产品开发部,中
73,0.45,0.49,2,149,3,0,1,0,产品开发部,高
74,0.09,0.87,7,245,4,0,1,0,产品开发部,低
75,0.11,0.97,6,247,4,0,1,0,产品开发部,中
76,0.11,0.79,7,246,4,0,1,0,产品开发部,中
77,0.1,0.83,6,245,4,0,1,0,产品开发部,中
78,0.4,0.54,2,137,3,0,1,0,市场部,中
79,0.43,0.56,2,157,3,0,1,0,销售部,低
80,0.39,0.56,2,142,3,0,1,0,财务部,低
81,0.45,0.54,2,140,3,0,1,0,支持部,低
82,0.38,0.49,2,151,3,0,1,0,技术部,低
83,0.79,0.59,4,139,3,0,1,1,管理部,低
84,0.84,0.85,4,249,6,0,1,0,市场部,低
85,0.11,0.77,6,241,4,0,1,0,市场部,低
86,0.11,0.87,6,245,4,0,1,0,市场部,低
87,0.17,0.84,5,232,3,0,1,0,销售部,低
88,0.44,0.45,2,132,3,0,1,0,销售部,低
89,0.37,0.57,2,130,3,0,1,0,销售部,低
90,0.1,0.79,6,241,4,0,1,0,销售部,低
91,0.4,0.5,2,130,3,0,1,0,销售部,低
92,0.89,1,5,246,5,0,1,0,销售部,低
93,0.42,0.48,2,143,3,0,1,0,销售部,低
94,0.46,0.55,2,129,3,0,1,0,销售部,低
95,0.09,0.83,6,245,4,0,1,0,销售部,低
96,0.37,0.51,2,155,3,0,1,0,销售部,低
97,0.1,0.77,6,245,4,0,1,0,销售部,低
98,0.1,0.84,6,249,4,0,1,0,销售部,低
99,0.11,0.97,6,244,4,0,1,0,销售部,低
