format,metric,date,number_of_records,value_actual
CD,Units,2020/7/31 22:01,1,
CD,Units,2020/7/23 6:12,1,
CD,Units,2020/7/13 9:30,1,
CD,Units,2020/6/30 14:26,1,
CD,Units,2020/6/23 20:21,1,
CD,Units,2020/6/20 13:41,1,
CD,Units,2020/5/24 7:03,1,
CD,Units,2020/5/22 17:44,1,
CD,Units,2020/5/14 9:30,1,
CD,Units,2020/4/30 21:28,1,
CD,Units,2020/3/11 4:51,1,0.8
CD,Units,2020/3/9 4:16,1,5.8
CD,Units,2020/3/8 22:21,1,22.6
CD,Units,2020/2/25 1:22,1,53
CD,Units,2020/2/21 18:47,1,102.1
CD,Units,2020/2/18 19:48,1,149.7
CD,Units,2020/2/7 17:37,1,207.2
CD,Units,2020/2/6 6:09,1,286.5
CD,Units,2016/12/23 3:29,1,333.3
CD,Units,2016/12/7 4:51,1,407.5
CD,Units,2016/11/29 8:05,1,495.4
CD,Units,2016/11/24 14:10,1,662.1
CD,Units,2016/11/3 17:14,1,722.9
CD,Units,2016/10/1 20:23,1,778.9
CD,Units,2016/9/22 4:57,1,753.1
CD,Units,2016/9/14 15:01,1,847
CD,Units,2016/8/27 21:45,1,938.9
CD,Units,2016/8/11 5:59,1,942.5
CD,Units,2016/8/5 18:02,1,881.9
CD,Units,2016/7/21 0:48,1,803.3
CD,Units,2016/7/5 1:24,1,746
CD,Units,2016/6/27 10:02,1,767
CD,Units,2016/6/5 6:12,1,705.4
CD,Units,2016/6/2 10:56,1,619.7
CD,Units,2016/5/29 12:14,1,499.7
CD,Units,2016/5/20 11:59,1,368.4
CD,Units,2016/5/16 10:09,1,296.6
CD,Units,2016/5/13 0:34,1,253
CD,Units,2016/4/24 5:39,1,240.8
CD,Units,2016/4/18 11:59,1,198.1643872
CD,Units,2016/4/12 9:51,1,173.7933029
CD,Units,2016/4/10 14:57,1,138.7023634
CD,Units,2016/3/16 23:54,1,117.1440518
CD,Units,2016/3/3 1:32,1,97.5770712
CD,Units,2016/2/23 3:59,1,87.68249997
CD,Units,2016/2/21 5:58,1,51.95427564
CD,Units,2016/2/19 8:15,1,46.50649558
CD Single,Units,2016/2/6 13:55,1,
CD Single,Units,2016/1/27 9:59,1,
CD Single,Units,2016/1/21 16:44,1,
CD Single,Units,2015/12/30 13:07,1,
CD Single,Units,2015/12/21 2:32,1,
CD Single,Units,2015/12/8 0:34,1,
CD Single,Units,2015/11/13 14:59,1,
CD Single,Units,2015/11/2 21:34,1,
CD Single,Units,2015/10/31 11:34,1,
CD Single,Units,2015/10/13 12:23,1,
CD Single,Units,2015/10/11 0:07,1,
CD Single,Units,2015/10/10 9:57,1,
CD Single,Units,2015/10/4 21:02,1,
CD Single,Units,2015/9/17 21:03,1,
CD Single,Units,2015/9/14 23:50,1,
CD Single,Units,2015/9/8 13:46,1,1.6
CD Single,Units,2015/9/7 1:41,1,-0.1
CD Single,Units,2015/9/2 20:10,1,1.1
CD Single,Units,2015/7/19 7:06,1,5.7
CD Single,Units,2015/7/12 22:23,1,7.3
CD Single,Units,2015/7/4 1:40,1,7.8
CD Single,Units,2015/6/14 3:03,1,9.3
CD Single,Units,2015/6/12 17:03,1,21.5
CD Single,Units,2015/6/10 17:43,1,43.2
CD Single,Units,2015/6/2 8:44,1,66.7
CD Single,Units,2015/5/20 10:20,1,56
CD Single,Units,2015/5/18 17:13,1,55.9
CD Single,Units,2015/5/10 7:45,1,34.2
CD Single,Units,2015/5/7 20:34,1,17.3
CD Single,Units,2015/4/30 10:21,1,4.5
CD Single,Units,2015/4/21 1:42,1,8.3
CD Single,Units,2015/4/10 1:14,1,3.1
CD Single,Units,2015/4/8 4:06,1,2.8
CD Single,Units,2015/4/3 1:39,1,1.7
CD Single,Units,2015/3/30 21:33,1,2.6
CD Single,Units,2015/3/18 0:04,1,0.7
CD Single,Units,2015/3/11 6:18,1,0.9
CD Single,Units,2015/3/8 4:26,1,1
CD Single,Units,2015/3/4 4:30,1,1.3
CD Single,Units,2015/2/26 22:06,1,1.072870407
CD Single,Units,2015/2/25 10:53,1,0.628895398
CD Single,Units,2015/2/17 13:19,1,0.928725116
CD Single,Units,2015/1/9 17:31,1,0.386721563
CD Single,Units,2015/1/9 10:41,1,0.121745255
CD Single,Units,2015/1/7 1:05,1,0.13261663
CD Single,Units,2015/1/2 13:39,1,0.020854078
CD Single,Units,2014/12/13 2:53,1,0.026257455
Cassette,Units,2014/12/12 6:48,1,15
Cassette,Units,2014/12/9 21:19,1,15.3
Cassette,Units,2014/11/28 11:47,1,16.2
Cassette,Units,2014/11/27 12:12,1,21.8
Cassette,Units,2014/11/26 23:16,1,36.9
Cassette,Units,2014/11/26 17:40,1,61.3
Cassette,Units,2014/11/4 20:13,1,78.5
Cassette,Units,2014/10/21 18:55,1,99
Cassette,Units,2014/10/17 14:07,1,124
Cassette,Units,2014/10/14 10:25,1,183.2
Cassette,Units,2014/10/6 20:02,1,236.8
Cassette,Units,2014/9/9 18:55,1,332
Cassette,Units,2014/9/5 21:37,1,339.1
Cassette,Units,2014/8/29 23:15,1,344.5
Cassette,Units,2014/8/28 3:07,1,410
Cassette,Units,2014/8/23 6:29,1,450.1
Cassette,Units,2014/7/29 7:38,1,446.2
Cassette,Units,2014/7/29 3:07,1,442.2
Cassette,Units,2014/6/28 2:40,1,360.1
Cassette,Units,2014/6/26 5:54,1,366.4
Cassette,Units,2014/5/29 1:12,1,339.5
Cassette,Units,2014/5/16 20:06,1,345.4
Cassette,Units,2014/5/16 12:42,1,272.6
Cassette,Units,2014/5/8 19:42,1,225.3
Cassette,Units,2014/3/29 13:45,1,172.6
Cassette,Units,2014/3/18 11:02,1,158.5
Cassette,Units,2014/3/3 15:00,1,123.6
Cassette,Units,2014/2/18 12:50,1,76
Cassette,Units,2014/2/13 6:47,1,45
Cassette,Units,2014/1/15 2:46,1,31.1
Cassette,Units,2014/1/12 16:00,1,17.2
Cassette,Units,2014/1/8 17:05,1,5.2
Cassette,Units,2013/12/23 8:30,1,2.5
Cassette,Units,2013/12/8 3:10,1,0.7
